1ZGV,501,CCCCNc1cc(nc2n1nc(n2)Nc3cc(ccc3C)Cl)C
1ZRB,062,c1ccc2c(c1)-c3c[n+](ccc3[C@]2(C(=O)N4CCC[C@H]4C(=O)NCc5cc(ccc5CN)Cl)O)[O-]
2A2X,NA9,[H]/N=C(\c1ccc(cn1)CNC(=O)[C@H](C)N(C)C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)/N
2ANK,N12,[H]/N=C(\c1ccc(cn1)CNC(=O)C2(CCCC2)NC(=O)[C@@H](CC3CCCCC3)NCC(=O)O)/N
2ANM,CDO,[H]/N=C(/c1ccc(cn1)CNC(=O)[C@@H]2C=CCN2C(=O)[C@@H](CC3CCCCC3)NCC(=O)O)\N
2BDY,UNB,[H]/N=C(\c1ccc(cc1)CNC(=O)Cc2c(ccc(c2O)NS(=O)(=O)c3cccc4c3cccc4)C)/N
2BVR,4CP,[H]/N=C(\N)/Nc1ccc(cc1)C[C@@H](C(=O)N)NC(=O)CSc2ccc(cc2)Cl
2BVS,2CE,[H]/N=C(\N)/Nc1ccc(cc1)C[C@@H](C(=O)NCCOCCOCC(=O)N)NC(=O)CSc2ccc(cc2)Cl
2BXT,C2D,c1cc2c(cc1Cl)c(cs2)CNCCN3C(CN=C(C3O)NCCC4CCCCN4)Cl
2C8W,C7M,COc1ccc(cc1)S(=O)(=O)NC[C@H]([C@H](Cc2ccccc2)[NH2+]Cc3cc(ccc3N4C=NNN4)Cl)O
2C8X,C5M,Cc1cc(c(c(c1S(=O)(=O)NC[C@H]([C@H](Cc2ccccc2)NCc3cccc(c3)Cl)O)C)C)OC
2C8Y,C3M,c1ccc(cc1)C[C@@H]([C@@H](CNS(=O)(=O)c2ccc3ccccc3c2)O)N
2C8Z,C2A,c1cc(cc(c1)Cl)CN
2C90,C1M,c1cc(ccc1n2cnnn2)Cl
2C93,C4M,Cc1cc(c(c(c1S(=O)(=O)NC[C@H]([C@H](Cc2ccccc2)N)O)C)C)OC
2CF8,ESH,[H]/N=C(\c1ccc(cc1)[C@H]2[C@@H]3[C@H]([C@H]4[N@@]2CCC4)[C@H](N(C3=O)Cc5ccc(cc5)Cl)C(C)C)/N
2CF9,348,[H]/N=C(\c1ccc(cc1)[C@H]2[C@@H]3[C@H]([C@H]4[N@@]2CCC4)[C@H](N(C3=O)Cc5ccc(cc5)OC)C(C)C)/N
2CN0,F25,c1cc(ccc1CN2[C@@H]([C@H]3[C@@H]4CCC[N@@]4[C@H]([C@H]3C2=O)c5ccc(cc5)C(N)N)C(F)F)F
2FEQ,34P,[H]/N=C(/c1csc(n1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC3CCCCC3)NCC(=O)O)\N
2FES,3SP,[H]/N=C(/c1ccc(s1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC3CCCCC3)NCC(=O)O)\N
2GDE,SN3,[H]/N=C(\N)/N1CC=C(C1)CCNC(=O)[C@@H]2C[C@@H]3C[C@@H]([C@H](C[C@@H]3N2C(=O)[C@@H]([C@@H](C(C)C)Cl)NC(=O)[C@@H](COS(=O)(=O)O)OC)O)O
2GP9,EPE,C1CN(CCN1CCO)CCS(=O)(=O)O
2H9T,SVR,Cc1ccc(cc1NC(=O)c2cccc(c2)NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6c5c(cc(c6)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C(=O)Nc7ccc(c8c7c(cc(c8)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O
2HWL,PTR,c1cc(ccc1C[C@@H](C(=O)O)N)OP(=O)(O)O
2JH0,701,C[C@@H](C(=O)N1CCOCC1)N2CC[C@@H](C2=O)NS(=O)(=O)\C=C(/C)\c3ccc(s3)Cl
2JH5,895,C[C@@H](C(=O)N1CCOCC1)N2CC[C@@H](C2=O)NS(=O)(=O)\C=C\c3ccc(s3)Cl
2JH6,894,C[C@@H](C(=O)N1CCOCC1)N2CC[C@@H](C2=O)NS(=O)(=O)CCc3ccc(s3)Cl
2PKS,G44,[H]/N=C(\c1ccc(cc1)CNc2cc(ccn2)C(=O)c3cccc(c3)C)/N
2R2M,I50,[H]/N=C(/N)\NOCCNC(=O)Cc1c(ccc(c1F)NCC(c2ccccc2)(F)F)Cl
2UUJ,896,CCN(C(C)C)C(=O)c1cc(cc(c1)OC[C@H](C)Nc2ccncc2)C
2UUK,897,Cc1cc(cc(c1)OC[C@H](C)Nc2ccncc2)C(=O)N(CCC(=O)NC(C)(C)C)C(C)C
2V3H,I25,[H]/N=C(/c1ccc(cc1)N[C@H](c2cc(cc(c2)OCC(C)(C)CN(C)C)CC)C(=O)O)\N
2V3O,I26,[H]/N=C(/c1ccc(cc1)N[C@H](c2cc(cc(c2F)OCC(C)(C)CN(C)C)CC)C(=O)O)\N
